iter	F1	Logloss
0	0.8222075347	0.6549320764
1	0.8347712133	0.6176074083
2	0.8393406593	0.5868727287
3	0.8366184845	0.557583691
4	0.8336097291	0.5337591367
5	0.8338121547	0.5182736355
6	0.8352642613	0.500469469
7	0.8377963126	0.4877070202
8	0.8386388584	0.4738629656
9	0.8407099036	0.4624731159
10	0.8423467716	0.4546569778
11	0.8420821918	0.4461034928
12	0.8445953346	0.4374015862
13	0.8448389218	0.4316727723
14	0.8438596491	0.4269556809
15	0.8462212486	0.4204825773
16	0.8465921543	0.4160763452
17	0.8462632673	0.4129908267
18	0.8472723297	0.4089168648
19	0.8485311783	0.4057717407
20	0.8490998363	0.4026610365
21	0.8490009826	0.3996959473
22	0.8498688811	0.3966761833
23	0.8491205069	0.3945864599
24	0.8500600633	0.3922963424
25	0.8523050033	0.3900764966
26	0.8519611056	0.3873289204
27	0.8528062896	0.3850852495
28	0.8537730698	0.3834761665
29	0.8545533959	0.3812173154
30	0.8549901725	0.3795380253
31	0.8559266536	0.378329411
32	0.8561143231	0.3770008097
33	0.8565193672	0.3752819818
34	0.8562384019	0.3735431864
35	0.8569868996	0.3719690958
36	0.8569556672	0.3704727557
37	0.8569867803	0.3695692571
38	0.8571428571	0.3691720743
39	0.857736014	0.3677097599
40	0.8576423031	0.3667196686
41	0.8579234973	0.3654115464
42	0.8584843852	0.3646361317
43	0.8583916084	0.3630778087
44	0.858734841	0.3623392746
45	0.8590779987	0.3612794129
46	0.8593596328	0.3603350716
47	0.8596069869	0.3593511633
48	0.8595149661	0.3584683495
49	0.8596088714	0.3577428236
50	0.8597027972	0.3565818939
51	0.8594210814	0.3559471334
52	0.8598886098	0.3552333737
53	0.8607594937	0.3545713084
54	0.8612596878	0.3539696691
55	0.8614780046	0.3532427593
56	0.8615686702	0.3523527392
57	0.8620689655	0.3517272256
58	0.8624454148	0.351352414
59	0.8625354571	0.3506205614
60	0.8629076235	0.3501349241
61	0.8634380454	0.349307809
62	0.8636561955	0.3486093862
63	0.8630316249	0.3480525803
64	0.8632152589	0.3475270002
65	0.8638098354	0.3469866296
66	0.8636512262	0.3467217725
67	0.8639337113	0.3462636454
68	0.8638988776	0.3454030751
69	0.8643993896	0.3449870309
70	0.8642755914	0.3443802782
71	0.8640575602	0.3439107409
72	0.8647411444	0.3433916499
73	0.8642755914	0.3429324793
74	0.8649296849	0.3423776395
75	0.8649945474	0.3419297697
76	0.865242041	0.3414383096
77	0.8656781509	0.3408606403
78	0.865713974	0.3404119811
79	0.8655608904	0.340176642
80	0.8658084224	0.3396485714
81	0.8656553531	0.3391826422
82	0.8660626569	0.3387402754
83	0.8663755459	0.3381601088
84	0.8658150453	0.3376653565
85	0.8671176086	0.3373283045
86	0.8672489083	0.3370692358
87	0.866935924	0.3367779714
88	0.8667466987	0.3363102927
89	0.8668703623	0.3359037383
90	0.8670962105	0.3355890124
91	0.8670305677	0.3350805953
92	0.8673068529	0.3347065105
93	0.8679327658	0.3344024864
94	0.8680191972	0.334046188
95	0.8679615888	0.3338610384
96	0.8683033279	0.3334078983
97	0.8681798341	0.3330669136
98	0.8689956332	0.332686437
99	0.8689865823	0.3323091273
100	0.8692710607	0.3321205664
101	0.8691762139	0.3317851639
102	0.8693374086	0.3314033494
103	0.8690151598	0.3307853122
104	0.8695177831	0.3303942807
105	0.8695083397	0.3299500166
106	0.8697547684	0.3296848122
107	0.8706164234	0.3292008625
108	0.8706830809	0.3288449814
109	0.8709290927	0.328632484
110	0.8706830809	0.3283959868
111	0.8711188583	0.3281299299
112	0.8712137721	0.327814369
113	0.8714316845	0.3275425335
114	0.8718004575	0.3270758667
115	0.8722361399	0.3268249804
116	0.8725490196	0.3263392866
117	0.8726718222	0.3260408939
118	0.8725767807	0.3255939228
119	0.8727549799	0.3252934709
120	0.8726322665	0.3247939266
121	0.872263966	0.3245345116
122	0.8723589632	0.3242461
123	0.8724261902	0.3237620287
124	0.8726836712	0.3233974487
125	0.872929381	0.3231711023
126	0.8730521957	0.3227117863
127	0.8733928961	0.3223870768
128	0.8731473409	0.3220217667
129	0.8731749837	0.3218341568
130	0.8732701319	0.3213409138
131	0.8731196861	0.321100485
132	0.8730521957	0.3206911519
133	0.873543187	0.3205287707
134	0.8731075046	0.3203386974
135	0.873488068	0.319905571
136	0.8737335222	0.3197038986
137	0.8736933798	0.3191385107
138	0.8744145518	0.3188863719
139	0.8747276688	0.3186371035
140	0.8747003705	0.3183995557
141	0.8753541076	0.3180751781
142	0.8754223433	0.318018054
143	0.8751089799	0.3176879008
144	0.8752043597	0.317562188
145	0.8749182829	0.3171586979
146	0.8747956849	0.3168027668
147	0.8751089799	0.3164669729
148	0.8748229655	0.3161110819
149	0.875013621	0.3157855997
150	0.8753269398	0.3155034625
151	0.8752315572	0.3150144209
152	0.874986376	0.3146852027
153	0.8753951815	0.3142331778
154	0.8754906236	0.3138649923
155	0.8756815703	0.3137019603
156	0.8756132127	0.3132651997
157	0.8758583106	0.312905299
158	0.875640327	0.3126665133
159	0.8759537824	0.3123636968
160	0.8757086786	0.3119261676
161	0.8751771503	0.3115400987
162	0.8751499291	0.3112492274
163	0.8764853374	0.3108029946
164	0.8765539804	0.3105515448
165	0.8764314538	0.3102766059
166	0.8765808984	0.3098626451
167	0.8764584015	0.3094901617
168	0.8767452007	0.3091015667
169	0.8774418858	0.3087793514
170	0.8775643824	0.3084753618
171	0.8775910975	0.3082938386
172	0.8774418858	0.3078631519
173	0.8777559485	0.3075906638
174	0.8784373636	0.3073578402
175	0.8780700797	0.3069844381
176	0.8788044071	0.3065268302
177	0.8787085515	0.3061776256
178	0.8790489694	0.3057890082
179	0.8791712105	0.3054998884
180	0.879389313	0.305199017
181	0.879389313	0.3049120291
182	0.879389313	0.3046213746
183	0.880017452	0.3041521364
184	0.8799738363	0.3037359701
185	0.8796336677	0.3034528479
186	0.8800697776	0.303255231
187	0.8801657398	0.3029337072
