iter	Passed	Remaining
0	6	3123
1	12	3125
2	18	3072
3	25	3219
4	32	3176
5	38	3170
6	46	3241
7	52	3198
8	59	3224
9	65	3206
10	83	3732
11	89	3644
12	95	3583
13	101	3525
14	107	3474
15	113	3430
16	119	3385
17	125	3350
18	131	3318
19	136	3284
20	143	3264
21	148	3235
22	154	3207
23	160	3179
24	166	3156
25	171	3133
26	177	3105
27	184	3114
28	190	3092
29	195	3065
30	201	3042
31	206	3017
32	212	3001
33	217	2981
34	222	2958
35	229	2954
36	234	2938
37	240	2928
38	245	2898
39	250	2879
40	255	2863
41	261	2850
42	266	2836
43	272	2823
44	277	2807
45	283	2793
46	288	2781
47	294	2769
48	299	2756
49	305	2748
50	310	2736
51	316	2724
52	321	2715
53	327	2703
54	332	2693
55	338	2681
56	343	2670
57	348	2655
58	353	2642
59	359	2632
60	364	2621
61	369	2611
62	375	2601
63	380	2591
64	385	2581
65	391	2571
66	396	2563
67	402	2554
68	407	2546
69	412	2535
70	418	2525
71	423	2516
72	428	2507
73	434	2499
74	439	2491
75	445	2483
76	450	2474
77	455	2466
78	461	2457
79	468	2459
80	473	2450
81	479	2443
82	484	2434
83	490	2426
84	496	2421
85	501	2412
86	506	2404
87	512	2398
88	517	2389
89	522	2381
90	528	2375
91	533	2367
92	539	2359
93	544	2350
94	549	2342
95	554	2335
96	560	2327
97	565	2320
98	571	2313
99	576	2305
100	581	2298
101	587	2291
102	592	2283
103	597	2273
104	602	2265
105	607	2259
106	613	2251
107	618	2244
108	623	2237
109	629	2230
110	634	2222
111	639	2215
112	645	2209
113	650	2202
114	655	2195
115	661	2189
116	666	2182
117	671	2175
118	676	2167
119	682	2160
120	687	2154
121	693	2147
122	698	2140
123	703	2134
124	709	2127
125	714	2120
126	719	2114
127	725	2107
128	730	2101
129	735	2094
130	741	2087
131	746	2080
132	750	2072
133	756	2065
134	762	2060
135	768	2056
136	773	2049
137	779	2045
138	785	2038
139	790	2032
140	795	2026
141	801	2020
142	806	2014
143	812	2007
144	817	2001
145	823	1996
146	828	1989
147	833	1983
148	839	1976
149	844	1970
150	849	1963
151	855	1957
152	860	1951
153	865	1945
154	870	1938
155	876	1931
156	881	1925
157	886	1919
158	892	1913
159	897	1908
160	903	1901
161	908	1895
162	913	1889
163	919	1883
164	924	1877
165	929	1871
166	935	1865
167	940	1858
168	946	1853
169	952	1848
170	957	1842
171	962	1836
172	968	1829
173	973	1824
174	979	1818
175	984	1813
176	990	1807
177	995	1801
178	1001	1795
179	1006	1789
180	1012	1784
181	1018	1778
182	1023	1772
183	1028	1766
184	1034	1760
185	1039	1755
186	1045	1749
187	1050	1743
188	1056	1738
189	1062	1733
190	1067	1727
191	1073	1721
192	1078	1715
193	1084	1710
194	1089	1704
195	1094	1697
196	1100	1692
197	1105	1686
198	1110	1680
199	1116	1674
200	1121	1668
201	1126	1662
202	1132	1656
203	1137	1650
204	1145	1647
205	1150	1641
206	1155	1635
207	1161	1630
208	1166	1624
209	1171	1618
210	1177	1612
211	1182	1606
212	1188	1600
213	1193	1595
214	1198	1588
215	1203	1582
216	1209	1576
217	1214	1571
218	1219	1565
219	1225	1559
220	1230	1553
221	1235	1547
222	1241	1541
223	1246	1535
224	1251	1530
225	1257	1524
226	1262	1518
227	1267	1512
228	1273	1506
229	1279	1501
230	1284	1496
231	1290	1490
232	1296	1485
233	1301	1480
234	1307	1474
235	1312	1467
236	1317	1462
237	1322	1456
238	1328	1450
239	1333	1444
240	1338	1438
241	1343	1432
242	1349	1426
243	1354	1421
244	1360	1415
245	1365	1410
246	1371	1404
247	1376	1398
248	1381	1392
249	1387	1387
250	1392	1381
251	1397	1375
252	1403	1369
253	1408	1364
254	1413	1358
255	1419	1352
256	1425	1347
257	1431	1342
258	1436	1336
259	1441	1330
260	1447	1325
261	1452	1319
262	1457	1313
263	1462	1307
264	1468	1301
265	1473	1296
266	1478	1290
267	1483	1284
268	1489	1278
269	1494	1273
270	1500	1267
271	1505	1262
272	1510	1256
273	1516	1250
274	1521	1244
275	1526	1239
276	1532	1233
277	1537	1227
278	1542	1222
279	1548	1216
280	1554	1211
281	1559	1205
282	1565	1200
283	1571	1194
